,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,avarua,45,CK,1563103668,68,-21.21,-159.78,69.8,2.24
1,mataura,93,NZ,1563103968,88,-46.19,168.86,42.01,5.99
2,coahuayana,100,MX,1563103968,97,18.62,-100.35,68.62,1.68
3,rikitea,1,PF,1563103968,83,-23.12,-134.97,74.74,10.0
4,richards bay,0,ZA,1563103969,74,-28.77,32.06,72.76,23.29
5,kapaa,90,US,1563103969,83,22.08,-159.32,78.8,16.11
6,klyuchi,0,RU,1563103969,41,52.25,79.17,82.66,18.48
7,bluff,84,AU,1563103969,47,-23.58,149.07,49.0,4.99
8,tigil,12,RU,1563103969,94,57.8,158.67,51.34,14.25
9,naryan-mar,60,RU,1563103969,68,67.67,53.09,61.6,12.24
10,pangai,99,TO,1563103969,77,-19.8,-174.35,72.22,19.93
11,punta arenas,90,CL,1563103970,100,-53.16,-70.91,33.8,11.41
12,key largo,40,US,1563103921,78,25.09,-80.45,84.0,8.05
13,san miguel,20,AR,1563103970,93,-34.54,-58.72,44.6,3.36
14,batagay-alyta,100,RU,1563103970,62,67.8,130.41,55.3,4.74
15,lyubech,99,UA,1563103970,72,51.7,30.66,65.02,4.12
16,fortuna,90,US,1563103970,93,40.6,-124.16,60.01,10.76
17,torbay,90,CA,1563103970,100,47.66,-52.73,53.01,13.87
18,busselton,0,AU,1563103970,51,-33.64,115.35,51.01,11.72
19,ishigaki,20,JP,1563103971,89,24.34,124.16,84.2,5.82
20,atar,0,MR,1563103971,8,20.52,-13.05,109.3,21.81
21,albany,20,US,1563103971,73,42.65,-73.75,75.0,4.7
22,pevek,94,RU,1563103971,94,69.7,170.27,33.88,10.25
23,chuy,100,UY,1563103971,79,-33.69,-53.46,50.08,9.53
24,mabaruma,6,GY,1563103971,88,8.2,-59.78,76.54,1.5
25,cairns,56,AU,1563103902,77,-16.92,145.77,66.2,9.17
26,tasiilaq,90,GL,1563103971,86,65.61,-37.64,41.0,13.87
27,petawawa,75,CA,1563103816,87,45.89,-77.27,61.0,9.17
28,vaini,75,IN,1563103972,83,15.34,74.49,82.4,9.17
29,haines junction,100,CA,1563103972,94,60.75,-137.51,41.44,3.74
30,sitka,17,US,1563103972,89,37.17,-99.65,62.01,7.07
31,east london,0,ZA,1563103972,49,-33.02,27.91,73.4,2.24
32,vila franca do campo,75,PT,1563103972,88,37.72,-25.43,71.6,3.36
